school_name,nces_school_id,district,metro,state,entity_type,school_level,school_url,main_office_phone,main_office_email,principal_name,principal_title,principal_email,principal_phone,counselor_name,counselor_email,media_specialist_name,media_specialist_email,coach_name,coach_email,coach_role,sources,people_last_verified_at,status
Bainbridge Middle School,130171000614,Decatur County Schools,Bainbridge,GA,traditional,middle,,(229)248-2206,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hutto Elementary School,130171000613,Decatur County Schools,Bainbridge,GA,traditional,elementary,,(229)248-2224,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Jones-Wheat Primary School,130171000619,Decatur County Schools,Bainbridge,GA,traditional,elementary,,(229)248-2218,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
New Beginning Learning Center,130171004170,Decatur County Schools,Bainbridge,GA,traditional,high,,(229)243-6827,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
West Bainbridge Primary School,130171000617,Decatur County Schools,Bainbridge,GA,traditional,elementary,,(229)248-2821,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Allgood Elementary School,130174000667,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5102,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Arabia Mountain High School - Academy of Engineering- Medic,130174003915,DeKalb County School District,Atlanta,GA,traditional,high,https://arabiamtnhs.dekalb.k12.ga.us/,(678)875-3602,,Tanya Mason,Principal,TANYA_J_MASON@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://arabiamtnhs.dekalb.k12.ga.us/Administration.aspx|https://arabiamtnhs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Ashford Park Elementary School,130174000729,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-6702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Austin Elementary School,130174000637,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-8102,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Avondale Elementary School,130174000694,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Barack H. Obama Elementary Magnet School of Technology,130174004248,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-4402,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Bob Mathis Elementary School,130174000640,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-5802,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Briar Vista Elementary School,130174000710,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-5902,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Briarlake Elementary School,130174000728,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-2502,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Brockett Elementary School,130174000654,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-2602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Browns Mill Elementary School,130174002112,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-8302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Canby Lane Elementary School,130174000727,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-0602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Cary Reynolds Elementary School,130174000734,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-6802,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Cedar Grove Elementary School,130174000645,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-3902,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Cedar Grove High School,130174000639,DeKalb County School District,Atlanta,GA,traditional,high,https://www.cedargrovehs.dekalb.k12.ga.us/,(678)874-4002,,Dr. Reginald Griffin,Principal,Reginald_J_Griffin@dekalbschoolsga.org,(678) 874-4160,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.cedargrovehs.dekalb.k12.ga.us/Administration.aspx|https://www.cedargrovehs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Cedar Grove Middle School,130174002310,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-4202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Chamblee High School,130174000692,DeKalb County School District,Atlanta,GA,traditional,high,https://www.chambleehs.dekalb.k12.ga.us/,(678)676-6902,,Gail Barnes,Principal (HS),gail_barnes@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.chambleehs.dekalb.k12.ga.us/Administration.aspx|https://www.chambleehs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Chamblee Middle School,130174003336,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-8202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Chapel Hill Elementary School,130174000653,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-8402,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Chapel Hill Middle School,130174000083,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)676-8502,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Chesnut Elementary School,130174000724,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-7102,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Clarkston High School,130174000708,DeKalb County School District,Atlanta,GA,traditional,high,https://www.clarkstonhs.dekalb.k12.ga.us/,(678)676-5302,,Shavonne Charles,Principal,shavonne_charles@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.clarkstonhs.dekalb.k12.ga.us/Administration.aspx|https://www.clarkstonhs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Columbia Elementary School,130174000652,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-0702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Columbia High School,130174000666,DeKalb County School District,Atlanta,GA,traditional,high,https://columbiahs.dekalb.k12.ga.us/,(678)874-0802,,Pammy Darden,Principal,pammy_darden@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://columbiahs.dekalb.k12.ga.us/Administration.aspx|https://columbiahs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Columbia Middle School,130174002480,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)875-0502,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Coralwood Education Center,130174000635,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-6002,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Cross Keys High School,130174000707,DeKalb County School District,Atlanta,GA,traditional,high,https://crosskeyshs.dekalb.k12.ga.us/,(678)874-6102,,Roberta Gibson,Principal,roberta_gibson@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://crosskeyshs.dekalb.k12.ga.us/Administration.aspx|https://crosskeyshs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
DeKalb Agriculture Technology and Environment School,130174003955,DeKalb County School District,Atlanta,GA,traditional,elementary,,(770)484-5865,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
DeKalb Alternative School,130174002313,DeKalb County School District,Atlanta,GA,traditional,other,,(678)676-2302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Dekalb Early College Academy,130174003708,DeKalb County School District,Atlanta,GA,traditional,high,https://www.deca.dekalb.k12.ga.us/,(678)676-0221,,Edward Conner,Principal,Edward_L_Conner@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.deca.dekalb.k12.ga.us/Administration.aspx|https://www.deca.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
DeKalb Elementary School of the Arts,130174000656,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-1302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
DeKalb PATH Academy Charter School,130174003339,DeKalb County School District,Atlanta,GA,traditional,middle,,(404)846-3242,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
DeKalb Preparatory Academy Charter,130174004071,DeKalb County School District,Atlanta,GA,traditional,elementary,,(404)492-5061,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
DeKalb School of the Arts,130174003884,DeKalb County School District,Atlanta,GA,traditional,high,https://dsa.dekalb.k12.ga.us/,(678)676-2502,,Keith Jones,Principal,keith_a_jones@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://dsa.dekalb.k12.ga.us/Administration.aspx|https://dsa.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Doraville United Elementary School,130174004403,DeKalb County School District,Atlanta,GA,traditional,elementary,,(404)202-0093,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Dresden Elementary School,130174000651,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-7202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Druid Hills High School,130174000665,DeKalb County School District,Atlanta,GA,traditional,high,https://druidhillshs.dekalb.k12.ga.us/,(678)874-6302,,Michael Costa,Principal,michael_costa@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://druidhillshs.dekalb.k12.ga.us/Administration.aspx|https://druidhillshs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Druid Hills Middle School,130174001589,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-7602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Dunaire Elementary School,130174000726,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5502,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Dunwoody Elementary School,130174003914,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)875-4002,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Dunwoody High School,130174000690,DeKalb County School District,Atlanta,GA,traditional,high,https://www.dunwoodyhs.dekalb.k12.ga.us/,(678)874-8502,,Tom Bass,Principal,thomas_bass@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.dunwoodyhs.dekalb.k12.ga.us/Administration.aspx|https://www.dunwoodyhs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
East DeKalb Special Education Center,130174002642,DeKalb County School District,Atlanta,GA,traditional,other,,(678)676-1890,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Edward L. Bouie- Sr. Elementary School,130174001531,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-8202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Eldridge L. Miller Elementary School,130174001862,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-3302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Elizabeth Andrews High School,130174003921,DeKalb County School District,Atlanta,GA,traditional,high,https://www.andrewshs.dekalb.k12.ga.us/,(678)676-2602,,Dr. Angelia Major,"Principal, HS",angelia_major@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.andrewshs.dekalb.k12.ga.us/Administration.aspx|https://www.andrewshs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Evansdale Elementary School,130174000650,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-2702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Fairington Elementary School,130174000642,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-8702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Fernbank Elementary School,130174000664,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-9302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Flat Rock Elementary School,130174003634,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)875-3202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Flat Shoals Elementary School,130174000725,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-4602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Freedom Middle School,130174002370,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-8702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
GLOBE Academy Charter School I,130174004142,DeKalb County School District,Atlanta,GA,traditional,elementary,,(404)867-6183,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hambrick Elementary School,130174000723,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hawthorne Elementary School,130174000688,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-2802,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Henderson Middle School,130174001586,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-2902,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Henderson Mill Elementary School,130174000741,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-3102,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Hightower Elementary School,130174000704,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-7302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Huntley Hills Elementary School,130174000687,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-7402,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Idlewood Elementary School,130174000678,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-3202,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Indian Creek Elementary School,130174000740,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
International Community School,130174002538,DeKalb County School District,Atlanta,GA,traditional,elementary,,(404)499-8969,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
John Robert Lewis Elementary School,130174004362,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-1502,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Jolly Elementary School,130174000722,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)676-5802,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kelley Lake Elementary School,130174000703,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-4802,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kingsley Elementary School,130174000684,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-8902,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Kittredge Magnet School,130174001999,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)874-6602,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Lakeside High School,130174000721,DeKalb County School District,Atlanta,GA,traditional,high,https://www.lakesidehs.dekalb.k12.ga.us/,(678)874-6702,,Dr. Susan Stoddard,Principal,susan_stoddard@dekalbschoolsga.org,(678) 874-6749,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.lakesidehs.dekalb.k12.ga.us/Administration.aspx|https://www.lakesidehs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Laurel Ridge Elementary School,130174000700,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-6902,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Leadership Preparatory Academy,130174004006,DeKalb County School District,Atlanta,GA,traditional,elementary,,(404)656-3103,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Lithonia High School,130174002537,DeKalb County School District,Atlanta,GA,traditional,high,https://www.lithoniahs.dekalb.k12.ga.us/,(678)676-2902,,Dr. Mulanta Wilkins,Principal,mulanta_clark@dekalbschoolsga.org,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://www.lithoniahs.dekalb.k12.ga.us/Administration.aspx|https://www.lithoniahs.dekalb.k12.ga.us/Staff.aspx,2026-09-07,verified
Lithonia Middle School,130174002858,DeKalb County School District,Atlanta,GA,traditional,middle,,(678)875-0702,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Livsey Elementary School,130174000677,DeKalb County School District,Atlanta,GA,traditional,elementary,,(678)874-3302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
