district,metro,state,entity_type,ai_policy_status,safety_ai_status,assignment_framework,teacher_pd
"SAIL - School for Arts-Infused Learning","Augusta","GA","charter","none","unknown","unknown","none"
"Sankofa Montessori School","Atlanta","GA","charter","none","unknown","unknown","none"
"Athens Academy","Athens","GA","private","none","unknown","unknown","unknown"
"The Heritage School","Atlanta","GA","private","none","unknown","unknown","unknown"
"Rabun Gap-Nacoochee School","Rural NE Georgia","GA","private","guidance","unknown","citation_required","offered"
"Tallulah Falls School","Cornelia","GA","private","none","unknown","unknown","unknown"
"Mount de Sales Academy","Macon","GA","private","none","unknown","unknown","unknown"
"Calvary Day School","Savannah","GA","private","none","unknown","unknown","unknown"
"Savannah Christian Preparatory School","Savannah","GA","private","none","unknown","unknown","unknown"
"Strong Rock Christian School","Atlanta","GA","private","procedure_handbook","unknown","teacher_discretion","unknown"
"Scintilla Charter Academy","Valdosta","GA","charter","none","unknown","unknown","none"
"SLAM Academy of Atlanta","Atlanta","GA","charter","procedure_handbook","unknown","teacher_discretion","none"
"Southwest Georgia STEM Charter","Rural SW Georgia","GA","charter","none","unknown","unknown","none"
"Spring Creek Charter Academy","Bainbridge","GA","charter","procedure_handbook","unknown","unknown","none"
"Statesboro STEAM Academy","Statesboro","GA","charter","none","unknown","unknown","none"
"The Anchor School","Atlanta","GA","charter","procedure_handbook","unknown","teacher_discretion","none"
"The Simple Vue Academy","Atlanta","GA","charter","none","unknown","unknown","none"
"Utopian Academy for the Performing Arts - Trilith","Atlanta","GA","charter","none","unknown","unknown","none"
"Yi Hwang Academy of Language Excellence","Atlanta","GA","charter","none","unknown","unknown","none"
"Zest Preparatory Academy Charter School","Atlanta","GA","charter","none","unknown","unknown","none"
"Academy for Innovation in Medicine","Atlanta","GA","charter","unknown","unknown","unknown","unknown"
"Dominion Purpose Academy","Columbus","GA","charter","unknown","unknown","unknown","unknown"
"Fayette Classical Academy","Atlanta","GA","charter","unknown","unknown","unknown","unknown"
"Northwest Georgia Charter Academy","Rome","GA","charter","unknown","unknown","unknown","unknown"
"The Meliora School","Atlanta","GA","charter","unknown","unknown","unknown","unknown"
"The Wright Community School","Atlanta","GA","charter","unknown","unknown","unknown","unknown"
"Brookwood School","Thomasville","GA","private","none","unknown","unknown","unknown"
"St. Anne-Pacelli Catholic School","Columbus","GA","private","none","unknown","unknown","unknown"
"Hebron Christian Academy","Atlanta","GA","private","none","unknown","unknown","unknown"
"John Milledge Academy","Milledgeville","GA","private","none","unknown","unknown","unknown"
"The Westfield School","Warner Robins","GA","private","none","unknown","unknown","unknown"
"Tiftarea Academy","Tifton","GA","private","none","unknown","unknown","unknown"
"Aquinas High School","Augusta","GA","private","none","unknown","unknown","unknown"
"St. Vincent's Academy","Savannah","GA","private","none","unknown","unknown","unknown"
